Zmienna;Typ informacji;Jednostka terytorialna;Szereg czasowy;Wartość
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2000;64
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2000;24
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2000;40
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2005;56
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2005;24
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2005;32
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2010;55
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2010;26
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2010;29
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2015;60
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2015;31
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2015;29
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2020;68
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2020;37
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2020;31
Współczynnik obciążenia demograficznego – całkowity;[osoba];POLSKA;2021;69
Współczynnik obciążenia demograficznego ludnością w wieku poprodukcyjnym;[osoba];POLSKA;2021;38
Współczynnik obciążenia demograficznego ludnością w wieku przedprodukcyjnym;[osoba];POLSKA;2021;31
